Sample,Tissue,Time,Diet,"CD3pos/gdTCR+/Q1: CD2- , CD8+/CD27+","CD3pos/gdTCR+/Q1: CD2- , CD8+/CD27- ","CD3pos/gdTCR+/Q2: CD2+ , CD8+/CD27+","CD3pos/gdTCR+/Q2: CD2+ , CD8+/CD27-","CD3pos/gdTCR+/Q3: CD2+ , CD8-/CD27+","CD3pos/gdTCR+/Q3: CD2+ , CD8-/CD27-","CD3pos/gdTCR+/Q4: CD2- , CD8-/CD27+","CD3pos/gdTCR+/Q4: CD2- , CD8-/CD27-","CD3pos/gdTCR-/Q1: CD4- , CD8+/CD27+","CD3pos/gdTCR-/Q1: CD4- , CD8+/CD27- ","CD3pos/gdTCR-/Q2: CD4+ , CD8+/CD27+","CD3pos/gdTCR-/Q2: CD4+ , CD8+/CD27- ","CD3pos/gdTCR-/Q3: CD4+ , CD8-/CD27+","CD3pos/gdTCR-/Q3: CD4+ , CD8-/CD27-","CD3pos/gdTCR-/Q4: CD4- , CD8-/CD27+","CD3pos/gdTCR-/Q4: CD4- , CD8-/CD27- "
114_Jej_B6_B06_026.fcs,Jejunum,7,Control,6,1,234,84,24,128,10,10,185,103,8,11,19,17,32,120
137_Ce_E7_E07_040.fcs,Cecum,35,Control,50,43,771,1155,0,19,7,5,438,781,25,15,7,22,4,7
137_Jej_E6_E06_039.fcs,Jejunum,35,Control,11,2,300,88,75,224,6,1,2304,736,4,17,4,9,76,43
136_Jej_E2_E02_035.fcs,Jejunum,35,Control,7,5,438,116,71,151,13,3,3335,760,45,22,6,26,12,31
113_Co_B4_B04_024.fcs,Colon,7,Control,59,22,1626,308,77,44,126,37,1359,330,354,45,295,94,265,284
237_Jej_rerun_C8_C08_069.fcs,Jejunum,21,Control,37,4,525,178,323,186,26,16,2726,1094,50,11,22,47,56,157
237_Il_Rerun_C7_C07_068.fcs,Ileum,21,Control,109,16,496,129,373,93,80,41,2292,926,114,65,69,156,222,344
225_Jej_F2_F02_055.fcs,Jejunum,7,Control,55,29,1029,282,31,103,10,16,2218,904,86,168,19,246,114,324
115_Co_D4_D04_005.fcs,Colon,7,Control,11,24,1555,1627,32,51,15,15,994,634,89,116,140,80,90,261
113_Ce_B3_B03_023.fcs,Cecum,7,Control,114,44,2788,767,32,32,15,12,1337,321,323,26,150,62,185,177
115_Jej_D2_D02_003.fcs,Jejunum,7,Control,19,6,1979,915,81,533,15,11,2117,401,34,19,7,30,81,158
257_Jej_E2_E02_049.fcs,Jejunum,35,Control,9,1,263,98,27,112,19,4,5030,896,58,13,7,21,124,102
114_Ce_B7_B07_027.fcs,Cecum,7,Control,36,14,2890,375,38,51,8,19,2242,2602,109,56,62,71,187,305
116_Jej_D6_D06_007.fcs,Jejunum,7,Control,8,11,1739,1047,301,1669,14,33,2251,1504,12,8,13,20,77,418
233_Co_B4_B04_039.fcs,Colon,21,Control,280,105,3879,2208,264,260,127,67,706,779,32,43,100,117,40,211
233_Jej_B2_B02_037.fcs,Jejunum,21,Control,36,21,801,520,308,508,54,45,5447,1085,59,22,31,128,263,546
